robot, 1, 19.88, 12.36, 5.60
robot, 2, 18.32, 19.25, 0.52
robot, 3, 15.59, 17.08, 3.40
robot, 4, 11.32, 11.32, 0.72
robot, 5, 10.53, 15.71, 5.50
robot, 6, 11.41, 17.87, 3.84
robot, 7, 17.62, 15.0, 4.72
goal, 1, 4.94, 14.85, 1.53
goal, 2, 15.57, 5.29, 6.25
goal, 3, 7.95, 13.58, 0.24
goal, 4, 14.89, 9.66, 6.11
goal, 5, 11.01, 2.13, 3.94
goal, 6, 13.62, 6.05, 2.55
goal, 7, 11.0, 11.0, 0.0
obstacle, 4, 4, 6, 6
obstacle, 1, 4, 5, 8
obstacle, 1, 6, 5, 10
obstacle, 1, 8, 5, 12
obstacle, 5, 3, 9, 7
obstacle, 7, 3, 11, 7
obstacle, 7, 9, 9, 11
